Posição;Categoria;Modelo de Negócio;Tema;Questão;Alternativas;Nota;Gabarito
C-Level;Estratégia & Conselho ;Multi-frentes ;portfólio e choque macro;"Mudança macro alterou premissas de 30% do plano; áreas pedem “mais verba”. O Conselho quer valor. Qual KR adotar para os próximos ciclos?";Reforçar iniciativas vigentes até 30/06/2026, mantendo continuidade e limitando novos projetos a aprovações extraordinárias do executivo pleno.;2;Conserva o que existe, porém não otimiza retorno.
C-Level;Estratégia & Conselho ;Multi-frentes ;portfólio e choque macro;"Mudança macro alterou premissas de 30% do plano; áreas pedem “mais verba”. O Conselho quer valor. Qual KR adotar para os próximos ciclos?";Gerar relatório econômico até 31/01/2026, comparando cenários e propondo ajustes em alocação para deliberação colegiada do Conselho.;0;Diagnostica sem mecanismo de alocação com data.
C-Level;Cadência de Execução;Manufatura ;manutenção, paradas e OEE;"Três paradas não planejadas afetaram OEE; o Gerente de Manutenção quer “trocar mais peças preventivamente”. O board pede continuidade. Qual KR é ideal a se adotar?";Reduzir MTBF crítico de 46h→70h até 30/06/2026 e elevar OEE de 71%→78% no 2º tri/2026, com revisão quinzenal e plano D+7 para desvios.;10;Excelente! Foca continuidade com métricas-fim (MTBF/OEE), baseline, metas e cadência corretiva. É o que reduz paradas “com data”
C-Level;Cadência de Execução;Manufatura ;manutenção, paradas e OEE;"Três paradas não planejadas afetaram OEE; o Gerente de Manutenção quer “trocar mais peças preventivamente”. O board pede continuidade. Qual KR é ideal a se adotar?";Aumentar manutenções preventivas até 31/03/2026, com calendário atualizado, priorizando equipamentos com maior histórico de falhas.;6;"Ação importante, mas meio; sem alvo de desempenho o ganho fica incerto."
C-Level;Cadência de Execução;Manufatura ;manutenção, paradas e OEE;"Três paradas não planejadas afetaram OEE; o Gerente de Manutenção quer “trocar mais peças preventivamente”. O board pede continuidade. Qual KR é ideal a se adotar?";Criar checklists padronizados até 31/01/2026, treinando equipes por turno e auditando 1x/mês a aderência aos procedimentos propostos.;2;Padrão e treino são base, porém falta meta de resultado.
C-Level;Cadência de Execução;Manufatura ;manutenção, paradas e OEE;"Três paradas não planejadas afetaram OEE; o Gerente de Manutenção quer “trocar mais peças preventivamente”. O board pede continuidade. Qual KR é ideal a se adotar?";Gerar relatórios semanais de falhas até 30/06/2026, com tendências e recomendações para análise executiva nas reuniões operacionais.;0;"Monitorar é necessário; agir com meta é o que muda o cenário."
C-Level;Cadência de Execução;E-commerce ;picos, backlog e SLA;"Em duas datas de pico, backlog de picking passou de 18h; o COO quer “mais temporários”. O CFO exige SLA. Qual KR age melhor na situação?";Reduzir backlog de picking >8h para ≤2h até 31/05/2026 e elevar OTIF de despacho a ≥96% no 2º tri/2026, com revisão semanal e plano D+7.;10;Define SLA de execução (backlog/OTIF) e cria reação no ciclo (revisão semanal + D+7). Dá previsibilidade de pico.
C-Level;Cadência de Execução;E-commerce ;picos, backlog e SLA;"Em duas datas de pico, backlog de picking passou de 18h; o COO quer “mais temporários”. O CFO exige SLA. Qual KR age melhor na situação?";Contratar 25% de temporários até 31/01/2026, reforçando turnos e divulgando indicadores operacionais quinzenais por célula e categoria.;6;Reforço de equipe ajuda, mas sem SLA e meta, o ganho varia.
C-Level;Cadência de Execução;E-commerce ;picos, backlog e SLA;"Em duas datas de pico, backlog de picking passou de 18h; o COO quer “mais temporários”. O CFO exige SLA. Qual KR age melhor na situação?";Ajustar janelas de corte até 31/01/2026, alinhando promessas por canal e apresentando consolidados mensais na diretoria executiva.;2;"Ajusta promessas; falta resultado operacional explícito."
C-Level;Cadência de Execução;E-commerce ;picos, backlog e SLA;"Em duas datas de pico, backlog de picking passou de 18h; o COO quer “mais temporários”. O CFO exige SLA. Qual KR age melhor na situação?";Implementar WMS avançado até 30/06/2026, integrando rotas e ondas e publicando relatórios de produtividade por período.;0;Tecnologia sem meta de desempenho pode não capturar valor a tempo.
C-Level;Dados & Orçamento;Multi-frentes ;FinOps e nuvem fora do orçamento;"Os gastos de cloud subiram 31% fora do budget; TI propõe “reservar mais instâncias quando possível”. O Conselho exige disciplina. Qual melhor KR a se propor?";Reduzir custo unitário de cloud (R$/req) em 18% até 30/06/2026 e manter spend mensal ≤ orçamento +3%, com cut automático de workloads <P90 de eficiência.;10;Perfeito! Traz meta econômica direta (R$/req + teto de spend) e gatilho automático de eficiência, controla custo comportando-se no mês.
C-Level;Dados & Orçamento;Multi-frentes ;FinOps e nuvem fora do orçamento;"Os gastos de cloud subiram 31% fora do budget; TI propõe “reservar mais instâncias quando possível”. O Conselho exige disciplina. Qual melhor KR a se propor?";Ampliar reservas de instâncias até 31/03/2026, priorizando ambientes críticos e validando configurações com arquitetura em cada sprint quinzenal.;6;Reserva pode ajudar, mas sem alvo financeiro e limite mensal, a disciplina orçamentária não está garantida
C-Level;Dados & Orçamento;Multi-frentes ;FinOps e nuvem fora do orçamento;"Os gastos de cloud subiram 31% fora do budget; TI propõe “reservar mais instâncias quando possível”. O Conselho exige disciplina. Qual melhor KR a se propor?";Consolidar relatório FinOps mensal até 31/01/2026, exibindo consumo por time e serviço com recomendações e trilhas de automação.;2;Pode ser bem melhor. Visibilidade é útil, entretanto o controle vem de metas e gatilhos
C-Level;Dados & Orçamento;Multi-frentes ;FinOps e nuvem fora do orçamento;"Os gastos de cloud subiram 31% fora do budget; TI propõe “reservar mais instâncias quando possível”. O Conselho exige disciplina. Qual melhor KR a se propor?";Criar comitê de capacity até 31/01/2026, avaliando picos e gargalos e publicando atas de encaminhamentos para execução.;0;Governança sem métrica financeira não assegura o resultado.
C-Level;Dados & Orçamento;Manufatura ;MRP, dados-mestres e aderência de estoque;Divergência entre sistema e físico gerou compras desnecessárias. O PCP quer “ciclos mais longos de inventário”. CFO exige acurácia. Qual KR espera você receber para aprovação?;Elevar acurácia de estoque físico-sistema de 92%→98% até 31/05/2026 e reduzir compras não planejadas em 30% no 2º tri/2026, com contagens cíclicas ABC semanais.;10;Show! Une resultado de aderência (acurácia) com impacto financeiro (compras não planejadas) e método (cíclicas ABC). Direto ao ponto do CFO.
C-Level;Dados & Orçamento;Manufatura ;MRP, dados-mestres e aderência de estoque;Divergência entre sistema e físico gerou compras desnecessárias. O PCP quer “ciclos mais longos de inventário”. CFO exige acurácia. Qual KR espera você receber para aprovação?;Aumentar periodicidade de inventários até 31/03/2026, priorizando curva A e ajustando cadência conforme disponibilidade do time de almoxarifado.;6;Poderia ser melhor. Frequência sem metas pode elevar esforço sem capturar ganho.
C-Level;Dados & Orçamento;Manufatura ;MRP, dados-mestres e aderência de estoque;Divergência entre sistema e físico gerou compras desnecessárias. O PCP quer “ciclos mais longos de inventário”. CFO exige acurácia. Qual KR espera você receber para aprovação?;Publicar relatórios quinzenais de divergências até 30/06/2026, com evidências fotográficas e apontamentos por item e fornecedor.;2;"Transparência é base; compromisso de correção é o que reduz custo."
C-Level;Dados & Orçamento;Manufatura ;MRP, dados-mestres e aderência de estoque;Divergência entre sistema e físico gerou compras desnecessárias. O PCP quer “ciclos mais longos de inventário”. CFO exige acurácia. Qual KR espera você receber para aprovação?;Padronizar cadastro de materiais até 31/01/2026, com revisão de unidades e empacotamentos e aprovação centralizada pelo time de dados.;0;Qualidade de dados é essencial, mas sem meta de aderência o efeito fica difuso.
C-Level;Dados & Orçamento;E-commerce ;fraude, chargeback e ROAS;"Chargebacks subiram 55% enquanto ROAS caiu; o CFO ameaça cortar mídia. O CMO quer “defender investimento”. Qual proposta de resultado melhor para o cenário?";Reduzir chargeback de 1,9%→0,9% até 30/06/2026 e elevar ROAS a ≥4,0 no 2º tri/2026, ativando 3DS/ML em 100% dos high-risk até 31/03/2026.;10;Perfeito! Endereça retenção de receita (fraude↓) e eficiência de mídia (ROAS↑) com alavanca técnica aplicada no ponto de risco (high-risk)
C-Level;Dados & Orçamento;E-commerce ;fraude, chargeback e ROAS;"Chargebacks subiram 55% enquanto ROAS caiu; o CFO ameaça cortar mídia. O CMO quer “defender investimento”. Qual proposta de resultado melhor para o cenário?";Aumentar comunicação de segurança até 31/01/2026, educando clientes e parceiros e publicando relatórios de prevenção em cadência quinzenal.;6;Educa, mas não reduz chargeback de forma material. Poderia ser melhor.
C-Level;Dados & Orçamento;E-commerce ;fraude, chargeback e ROAS;"Chargebacks subiram 55% enquanto ROAS caiu; o CFO ameaça cortar mídia. O CMO quer “defender investimento”. Qual proposta de resultado melhor para o cenário?";Criar time tático até 31/01/2026, integrando risco e marketing e emitindo recomendações e listas de bloqueio ao longo do trimestre.;2;"Organização é boa; faltam metas de resultado."
C-Level;Dados & Orçamento;E-commerce ;fraude, chargeback e ROAS;"Chargebacks subiram 55% enquanto ROAS caiu; o CFO ameaça cortar mídia. O CMO quer “defender investimento”. Qual proposta de resultado melhor para o cenário?";Consolidar visões de funil até 28/02/2026, avaliando público, criativo e lances e apresentando propostas de investimento na reunião mensal.;0;Análise sem compromisso numérico mantém a incerteza.
C-Level;Rituais & Governança;Multi-frentes ;risco e portões de decisão;"Dois projetos críticos escalaram risco sem reação; o PMO quer “relatórios mais completos”. O Conselho pede portões. Quais dos KRs você aprova diante da situação?";Operar matriz de risco com thresholds: acionar replano em D+7 para score ≥16 e submeter freeze de escopo em gate mensal, aplicando decisão executiva em W1.;10;Sem dúvidas é a melhor escolha. Converte risco em decisão via thresholds objetivos e gate com data (W1). A resposta vira política, não caso a caso.
C-Level;Rituais & Governança;Multi-frentes ;risco e portões de decisão;"Dois projetos críticos escalaram risco sem reação; o PMO quer “relatórios mais completos”. O Conselho pede portões. Quais dos KRs você aprova diante da situação?";Aprimorar relatórios de risco até 31/01/2026, detalhando causas, impactos e planos, com assinatura digital dos responsáveis por diretoria.;6;Documenta bem, mas sem gatilhos vinculantes a decisão, o tempo joga contra
C-Level;Rituais & Governança;Multi-frentes ;risco e portões de decisão;"Dois projetos críticos escalaram risco sem reação; o PMO quer “relatórios mais completos”. O Conselho pede portões. Quais dos KRs você aprova diante da situação?";Consolidar heatmap trimestral até 30/06/2026, exibindo evolução de riscos e recomendações para apreciação do Conselho no fechamento do período.;2;Cadência trimestral é tardia para risco elevado.
C-Level;Rituais & Governança;Multi-frentes ;risco e portões de decisão;"Dois projetos críticos escalaram risco sem reação; o PMO quer “relatórios mais completos”. O Conselho pede portões. Quais dos KRs você aprova diante da situação?";Criar fórum quinzenal de risco até 31/01/2026, recebendo updates e encaminhando ações para acompanhamento em reuniões executivas.;0;Muito fraco. Fórum sem threshold vira discussão, não ação.
C-Level;Rituais & Governança;E-commerce ;incidentes e resposta;"Dois incidentes P1 derrubaram checkout; o CIO propõe “melhorar alertas”. O board exige continuidade. Qual melhor KR para os próximos ciclos?";Reduzir MTTR P1 de 2h05→40min até 31/05/2026 e elevar disponibilidade do checkout a ≥99,8% no 2º tri/2026, com post-mortem D+3 obrigatório.;10;Traz SLA de recuperação (MTTR) e uptime com aprendizado no ciclo (D+3). A dor do cliente e do faturamento é tratada com prazo.
C-Level;Rituais & Governança;E-commerce ;incidentes e resposta;"Dois incidentes P1 derrubaram checkout; o CIO propõe “melhorar alertas”. O board exige continuidade. Qual melhor KR para os próximos ciclos?";Implantar MFA em 100% de admins até 31/03/2026, auditando adesão mensal e reportando conformidade no comitê de segurança.;6;Segurança é essencial, mas não resolve o tempo de restauração.
C-Level;Rituais & Governança;E-commerce ;incidentes e resposta;"Dois incidentes P1 derrubaram checkout; o CIO propõe “melhorar alertas”. O board exige continuidade. Qual melhor KR para os próximos ciclos?";Consolidar runbooks até 31/01/2026, documentando fluxos e contatos e publicando versões revisadas a cada fechamento mensal.;2;Procedimentos ajudam, porém sem meta de tempo/uptime a experiência segue volátil.
C-Level;Rituais & Governança;E-commerce ;incidentes e resposta;"Dois incidentes P1 derrubaram checkout; o CIO propõe “melhorar alertas”. O board exige continuidade. Qual melhor KR para os próximos ciclos?";Ativar canal de status até 31/01/2026, com avisos públicos e históricos por evento e relatórios executivos a cada ocorrência registrada.”;0;Transparência sem restauração não sustenta receita.
Diretor;Estratégia & Portfólio;Multi-frentes ;Estratégia & Portfólio;O CEO está cobrando foco em ROI após choque macro-econômico. Como diretor, você precisa repriorizar o portfólio sem travar execução. Com base nisso, qual meta apresenta?;Repriorizar 100% até 31/01/2026 realocando 12% do OPEX para iniciativas ROI≥18% e congelando NPV negativo em gates de fevereiro.;10;Ótimo, Conecta valor econômico a prazo: realoca capital para ROI≥18% e bloqueia destruição de valor (NPV<0) com gates datados. Isso cria critério objetivo, acelera payback e evita “corte cego
Diretor;Estratégia & Portfólio;Multi-frentes ;Estratégia & Portfólio;O CEO está cobrando foco em ROI após choque macro-econômico. Como diretor, você precisa repriorizar o portfólio sem travar execução. Com base nisso, qual meta apresenta?;Revisar orçamento por diretoria até 31/01/2026 com corte linear de 12% e reavaliar ROI em comitês mensais ao longo do semestre vigente.;6;"Quase... Aqui você gera caixa rápido, mas ignora assimetria de valor (corte linear); “reavaliar ROI” sem mecanismo vinculante costuma empurrar decisão"
Diretor;Estratégia & Portfólio;Multi-frentes ;Estratégia & Portfólio;O CEO está cobrando foco em ROI após choque macro-econômico. Como diretor, você precisa repriorizar o portfólio sem travar execução. Com base nisso, qual meta apresenta?;Manter projetos em curso até 30/06/2026 limitando novas propostas a aprovações excepcionais e registrando premissas em ata consolidada.;2;Conserva capacidade, porém não otimiza retorno e tende a perpetuar alocação ineficiente
Diretor;Estratégia & Portfólio;Multi-frentes ;Estratégia & Portfólio;O CEO está cobrando foco em ROI após choque macro-econômico. Como diretor, você precisa repriorizar o portfólio sem travar execução. Com base nisso, qual meta apresenta?;Emitir relatório econômico até 31/01/2026 mapeando cenários e recomendando ajustes com apreciação colegiada em reunião extraordinária do Conselho.;0;Boa análise, faltam gatilhos executáveis (quem muda o quê, quando e com qual regra)
Diretor;Estratégia & Portfólio;Manufatura ;S&OP & Previsibilidade ;"O VP de Finanças questiona a previsibilidade do 1º semestre; seu forecast falhou por 3 ciclos. Qual melhor KR a ser utilizado diante desta condição?";Elevar acurácia M+1 de 62%→78% até 30/06/2026 travando S&OP na W1 e gatilho de corte >8% na W2 com replano em D+2.;10;Resultado mensurável (acurácia), janelas W1/W2, replano com tempo de resposta (D+2). Transforma ritual em governança de decisão.
Diretor;Estratégia & Portfólio;Manufatura ;S&OP & Previsibilidade ;"O VP de Finanças questiona a previsibilidade do 1º semestre; seu forecast falhou por 3 ciclos. Qual melhor KR a ser utilizado diante desta condição?";Rever a agenda de S&OP até 31/01/2026 ampliando presença e formato das pautas com relatório executivo no fechamento mensal.;6;Melhora o rito, mas não garante precisão nem reação automática.
Diretor;Estratégia & Portfólio;Manufatura ;S&OP & Previsibilidade ;"O VP de Finanças questiona a previsibilidade do 1º semestre; seu forecast falhou por 3 ciclos. Qual melhor KR a ser utilizado diante desta condição?";Padronizar premissas comerciais/industriais até 31/01/2026 publicando balanço de hipóteses e divergências a cada encerramento mensal.;2;Alinha premissas (útil), porém sem meta e sem cutoff vira padronização sem impacto.
Diretor;Estratégia & Portfólio;Manufatura ;S&OP & Previsibilidade ;"O VP de Finanças questiona a previsibilidade do 1º semestre; seu forecast falhou por 3 ciclos. Qual melhor KR a ser utilizado diante desta condição?";Consolidar cockpit mensal até 31/01/2026 exibindo demanda, produção, capacidade e desvios para discussão com gerências e coordenações.;0;Visualiza, mas não vincula decisões e prazos a resultado de acurácia.
Diretor;Cadência de Execução;Manufatura ;Logística & Continuidade;Você tem a seguinte percepção: atrasos de bobinas e pico de diesel podem romper abastecimento nos próximos 60 dias. Qual melhor resultado chave neste caso?;"Contratar 2 backups com SLA≥95% e lead time≤72h até 15/02/2026; acionar contingência se OTIF semanal <97% por 2 leituras.";10;"Define nível de serviço e gatilho operacional (OTIF<97%) com reação explícita. Continuidade é o objetivo primário; custo vem depois."
Diretor;Cadência de Execução;Manufatura ;Logística & Continuidade;Você tem a seguinte percepção: atrasos de bobinas e pico de diesel podem romper abastecimento nos próximos 60 dias. Qual melhor resultado chave neste caso?;Reestruturar rotas e janelas até 28/02/2026 avaliando tempos e custos com ajustes semanais de programação conjunta com PCP e recebimento.;6;Processo interno ajuda, mas sem SLA nem gatilho a ruptura persiste.
Diretor;Cadência de Execução;Manufatura ;Logística & Continuidade;Você tem a seguinte percepção: atrasos de bobinas e pico de diesel podem romper abastecimento nos próximos 60 dias. Qual melhor resultado chave neste caso?;Negociar reajustes com parceiros até 31/01/2026 equilibrando preço e cobertura preservando níveis adequados de serviço para o trimestre.;2;Foca preço e cobertura, não garante serviço com métrica dura.
Diretor;Cadência de Execução;Manufatura ;Logística & Continuidade;Você tem a seguinte percepção: atrasos de bobinas e pico de diesel podem romper abastecimento nos próximos 60 dias. Qual melhor resultado chave neste caso?;Implementar monitoramento quinzenal de frete até 30/06/2026 consolidando variações e relatórios executivos para diretoria em pauta recorrente.;0;Monitorar não substitui mecanismo de contingência.
Diretor;Cadência de Execução;Manufatura ;Qualidade & Campo ;O Presidente viu aumento de reclamações por variação de lote e pediu ação com impacto no refugo. Diante disso qual melhor KR a ser adotado?;Reduzir refugo por variação de 2,8%→1,5% até 30/06/2026 com AQL 100% na recepção de curva A implementado até 31/01/2026.;10;Quanta precisão! Mira métrica-fim (refugo), define baseline/meta e acopla condição de prova (AQL 100%). Ataca a causa de custo.
Diretor;Cadência de Execução;Manufatura ;Qualidade & Campo ;O Presidente viu aumento de reclamações por variação de lote e pediu ação com impacto no refugo. Diante disso qual melhor KR a ser adotado?;Reforçar inspeções de chegada até 31/01/2026 padronizando amostras e critérios com relatório quinzenal aos times de qualidade e operação.;6;"Quase. Ação de meio; sem meta de refugo, impacto é incerto."
Diretor;Cadência de Execução;Manufatura ;Qualidade & Campo ;O Presidente viu aumento de reclamações por variação de lote e pediu ação com impacto no refugo. Diante disso qual melhor KR a ser adotado?;Treinar inspeção em todos os turnos até 28/02/2026 aplicando avaliações e reciclagens e medindo aderência mensal ao padrão.;2;Desenvolvimento útil, porém sem resultado direto.
Diretor;Cadência de Execução;Manufatura ;Qualidade & Campo ;O Presidente viu aumento de reclamações por variação de lote e pediu ação com impacto no refugo. Diante disso qual melhor KR a ser adotado?;Auditar fornecedores críticos até 31/03/2026 emitindo planos e acompanhando correções com relatórios mensais à diretoria executiva.;0;Auditoria cria planos, não garante queda de refugo.
Diretor;Dados & Orçamento;E-commerce ;FinOps & Orçamento ;"O CFO notificou estouro de cloud (+31%); pede disciplina mensal com regra de corte. O que você sugere?";Reduzir R$/req em 18% até 30/06/2026 e manter spend≤orçamento+3% com corte automático de workloads <P90 de eficiência.;10;"Meta econômica direta + limite mensal + gatilho técnico de eficiência; fecha caixa no ciclo e reduz dispersão."
Diretor;Dados & Orçamento;E-commerce ;FinOps & Orçamento ;"O CFO notificou estouro de cloud (+31%); pede disciplina mensal com regra de corte. O que você sugere?";Ampliar reservas até 31/03/2026 priorizando ambientes críticos com validação de arquitetura em sprints quinzenais da plataforma.;6;Ajuda custo, mas sem alvo financeiro nem teto mensal vira tentativa e erro
Diretor;Dados & Orçamento;E-commerce ;FinOps & Orçamento ;"O CFO notificou estouro de cloud (+31%); pede disciplina mensal com regra de corte. O que você sugere?";Publicar relatório FinOps mensal até 31/01/2026 com consumo por time/serviço e recomendações priorizadas para otimização contínua.;2;Transparência sem mecanismo compulsório
Diretor;Dados & Orçamento;E-commerce ;FinOps & Orçamento ;"O CFO notificou estouro de cloud (+31%); pede disciplina mensal com regra de corte. O que você sugere?";Criar comitê de capacity até 31/01/2026 avaliando picos e gargalos e registrando encaminhamentos e responsáveis com prazos definidos.;0;Governança sem métrica de resultado
Diretor;Dados & Orçamento;E-commerce ;MRP & Estoques;"Percepção do diretor: divergência físico×sistema gerou compras desnecessárias; o CFO quer acurácia com efeito em caixa. O que propõe?";Acurácia físico×sistema 92%→98% até 31/05/2026 e reduzir compras não planejadas em 30% no 2º tri/2026 com contagens cíclicas ABC semanais.;10;Exato! Liga aderência (98%) a impacto financeiro (–30% compras extras) e define método. Reduz desperdício e evita ruptura por erro de base.
Diretor;Dados & Orçamento;E-commerce ;MRP & Estoques;"Percepção do diretor: divergência físico×sistema gerou compras desnecessárias; o CFO quer acurácia com efeito em caixa. O que propõe?";Aumentar periodicidade de inventários até 31/03/2026 priorizando curva A conforme disponibilidade e limites de operação do almoxarifado.;6;Passou perto. Mais contagem sem meta pode virar custo operacional.
Diretor;Dados & Orçamento;E-commerce ;MRP & Estoques;"Percepção do diretor: divergência físico×sistema gerou compras desnecessárias; o CFO quer acurácia com efeito em caixa. O que propõe?";Relatório quinzenal de divergências até 30/06/2026 com evidência fotográfica e trilhas por item e fornecedor para decisão conjunta.;2;"Informar ajuda; corrigir com alvo é o que libera caixa."
Diretor;Dados & Orçamento;E-commerce ;MRP & Estoques;"Percepção do diretor: divergência físico×sistema gerou compras desnecessárias; o CFO quer acurácia com efeito em caixa. O que propõe?";Padronizar cadastro até 31/01/2026 com revisão de unidades/empacotamentos e aprovação centralizada pelo time de dados mestres.;0;"Qualidade de dados é meio; falta KR de aderência/impacto."
Diretor;Rituais & Governança;Manufatura ;Segurança & Continuidade ;O CEO questionou duas quedas de checkout (P1). Você precisa converter “alerta” em SLA de recuperação. Qual melhor meta a ser criada?;Reduzir MTTR P1 de 2h05→40min até 31/05/2026 e elevar disponibilidade do checkout a ≥99,8% no 2º tri/2026 com post-mortem D+3 obrigatório.;10;"Muito bom! Tempo de recuperação e uptime como resultados-fim; o D+3 força aprendizado rápido e previne recorrência"
Diretor;Rituais & Governança;Manufatura ;Segurança & Continuidade ;O CEO questionou duas quedas de checkout (P1). Você precisa converter “alerta” em SLA de recuperação. Qual melhor meta a ser criada?;Implantar MFA em 100% dos admins até 31/03/2026 com auditoria mensal de adesão e reporte formal ao comitê de segurança corporativa.;6;Excelente prevenção, mas não endereça tempo para voltar ao ar.
Diretor;Rituais & Governança;Manufatura ;Segurança & Continuidade ;O CEO questionou duas quedas de checkout (P1). Você precisa converter “alerta” em SLA de recuperação. Qual melhor meta a ser criada?;Consolidar runbooks até 31/01/2026 documentando fluxos de restauração e contatos com revisão e testes nos fechamentos mensais seguintes.;2;"Procedimento ajuda; sem meta de MTTR/uptime a experiência continua volátil."
Diretor;Rituais & Governança;Manufatura ;Segurança & Continuidade ;O CEO questionou duas quedas de checkout (P1). Você precisa converter “alerta” em SLA de recuperação. Qual melhor meta a ser criada?;Ativar canal de status até 31/01/2026 com avisos públicos e histórico por evento e relatórios executivos por incidente relevante.;0;"Comunicação é higiene; receita depende de restabelecer rápido."
Diretor;Rituais & Governança;Multi-frentes ;Pessoas & Sucessão ;"O VP pediu plano B para férias/licenças em cadeiras críticas; duas saídas previstas em sequência. Como diretor de RH, qual considera a melhor sugestão?";Ter 1 sucessor treinado por cadeira crítica com 2 rodízios concluídos até 31/03/2026 e NPS interno de cobertura ≥85.;10;Prontidão comprovada (rodízios) e aceitação do time (NPS). Reduz risco de continuidade sem inflar headcount.
Diretor;Rituais & Governança;Multi-frentes ;Pessoas & Sucessão ;"O VP pediu plano B para férias/licenças em cadeiras críticas; duas saídas previstas em sequência. Como diretor de RH, qual considera a melhor sugestão?";Mapear talentos por área até 31/03/2026 publicando trilhas e consolidando potenciais e ações de desenvolvimento padronizadas por nível.;6;Talentos mapeados, mas sem cobertura efetiva por cadeira.
